WHO-8	WHO-11	DECISION: select pilot repository and secure CI authority
WHO-9	WHO-109	Rebuild the executive dashboard around a monthly adoption trend
WHO-10	WHO-106	Audit authentication methods for credential leakage, focusing on the Salesforce CLI path
WHO-11	WHO-95	Onboarding guide: DevLake setup, credentials, and connecting trackers
WHO-12	WHO-94	Documentation site with screenshots, published to GitHub Pages
WHO-13	WHO-66	Sync password encrypted at rest, no shell profile required
WHO-14	WHO-61	dun log: surface the errors the hooks are silently swallowing
WHO-15	WHO-54	Investigate Antigravity as an attribution source (encrypted protobuf + SQLite index)
WHO-16	WHO-32	Security and privacy posture document
WHO-17	WHO-31	Release engineering: signed binaries, no curl-pipe-sh
WHO-18	WHO-9	Name and domain availability check
WHO-19	WHO-5	Publish SPEC.md v0.2
WHO-20	WHO-107	Dashboard text panels clip their last line
WHO-21	WHO-56	Keep the agent support matrix current (docs/adapters/agent-support.md)
WHO-22	WHO-40	Model-assisted classification via local agent CLI
WHO-23	WHO-25	Cursor and Windsurf: declaration-only, do not reverse-engineer
WHO-24	WHO-20	Community contribution path and adapter guide
WHO-25	WHO-8	Risk register with owners and triggers
WHO-26	WHO-7	Apache-2.0 LICENSE and CONTRIBUTING
WHO-27	WHO-6	Conformance test vectors
WHO-28	WHO-65	Consistent color across every dun command
WHO-29	WHO-55	Gemini CLI adapter � deferred until a Standard/Enterprise tier is available
WHO-30	WHO-44	Rework/correction signal from prompt text (classify locally, never persist raw text)
WHO-31	WHO-105	Add OAuth 2.0 Refresh Token connection type to Salesforce MCP server
WHO-32	WHO-74	Migrate journal and sidecar schemas for the new columns
WHO-33	WHO-73	Read Codex event_msg and turn_context records in ParseSince
WHO-34	WHO-63	dun verify: one command that answers "is this actually working"
WHO-35	WHO-62	Keep hooks current across upgrades: dun repos update, version check, self-repair
WHO-36	WHO-58	Hook writes the journal at commit, and syncs at push
WHO-37	WHO-49	DECISION: sync architecture � developer machines push full journal (option A)
WHO-38	WHO-23	Claude Code session adapter
WHO-39	WHO-15	CI check action for trailer enforcement
WHO-40	WHO-10	Capture pre-adoption baseline before hooks ship
WHO-41	WHO-1	Rename trailer to AI-Attribution
WHO-42	WHO-2	DECISION: rename method=absent to method=undetermined
WHO-43	WHO-104	The trailer has no version of its own, so ratio becomes ambiguous the day it changes
WHO-44	WHO-103	Add model= to the AI-Attribution trailer
WHO-45	WHO-100	Rework the Productivity Funnel: modern styling, and fill the value stages
WHO-46	WHO-108	Guard the issue-key regex so GitHub boards stop fabricating AI-assisted issues
WHO-47	WHO-98	Every panel tooltip explains what it is, how it is computed, and how to read it
WHO-48	WHO-96	Contributor filter empties the Cost & Efficiency dashboard
WHO-49	WHO-93	Sync the baseline snapshot so before-and-after has a *before*
WHO-50	WHO-92	Collect compact boundaries so the context-pressure panel can exist
WHO-51	WHO-90	Efficiency signals: context size, session shape, subagent share
WHO-52	WHO-88	dun init verifies the binary is reachable as `dun` and says what to fix
WHO-53	WHO-87	Name the binary dun.exe inside the release archive
WHO-54	WHO-86	Windows install: the archive ships a versioned .exe with no install path
WHO-55	WHO-84	DECISION: where do token prices come from, and who refreshes them
WHO-56	WHO-82	Report token use in dun report, and stop deriving cost from monthly_spend
WHO-57	WHO-80	Read Codex token_count, task_complete timing, effort and approval_policy
WHO-58	WHO-79	Sum Claude Code message.usage into per-session token counts
WHO-59	WHO-77	Extract model and mcp_server from agy executor_metadata and steps.permissions
WHO-60	WHO-76	Extract model, branch and mcp_server in the Codex adapter
WHO-61	WHO-75	Extract model, branch, mcp_server and user_modified in the Claude Code adapter
WHO-62	WHO-72	Per-session attribution carries measured token cost, timing and autonomy
WHO-63	WHO-71	Per-edit attribution carries model, branch, MCP server and human-modified
WHO-64	WHO-70	agy outcome is ignored, not absent � steps.status is populated and indexed
WHO-65	WHO-69	Codex MCP calls undercounted by 44% � namespace-tagged calls never counted
WHO-66	WHO-68	Attribution carries real cost, model and branch
WHO-67	WHO-67	Fix Windows support: paths, diff parsing, and file permissions
WHO-68	WHO-64	dun report fails outside a git repository
WHO-69	WHO-60	dun status: work outside a repository, and take --repo
WHO-70	WHO-59	dun report: charts, journal data, and template presets
WHO-71	WHO-57	Configurable transcript locations per agent, with detection reported in dun status
WHO-72	WHO-53	Performance tests and budgets for ingest, hooks, and report
WHO-73	WHO-52	Ship dashboards as importable artifacts, not only as a mounted directory
WHO-74	WHO-50	Collect tool accept/reject signal from session transcripts
WHO-75	WHO-48	Hunk-hash matching rarely fires: journal hashes whole files, diffs are fragments
WHO-76	WHO-43	dun report: local self-contained HTML dashboard
WHO-77	WHO-42	Velocity and revert-rate delta computation (pre/post AI-adoption)
WHO-78	WHO-41	Evaluate AgentCompass harness abstraction for adapter interface
WHO-79	WHO-37	Grafana panel: method mix
WHO-80	WHO-36	Grafana panel: penetration
WHO-81	WHO-35	Grafana panel: coverage rate
WHO-82	WHO-34	dun ingest --since: CI-run history walk
WHO-83	WHO-33	Sidecar table schema in DevLake
WHO-84	WHO-29	dun journal show, pause, purge
WHO-85	WHO-26	Adapter drift detection and golden fixtures
WHO-86	WHO-22	Content-hash matching for rewrite safety
WHO-87	WHO-21	Journal writer and schema v1
WHO-88	WHO-19	README: lead with the spec, not the daemon
WHO-89	WHO-17	Absence must never mean none
WHO-90	WHO-14	commit-msg: trailer validator
WHO-91	WHO-13	prepare-commit-msg: trailer producer
WHO-92	WHO-12	dun init: install hooks into a repository
WHO-93	WHO-3	DECISION: session field semantics
WHO-94	WHO-4	DECISION: ratio denominator
WHO-95	WHO-102	Evidence strength labels are too long for the legend
WHO-96	WHO-101	Reorder the delivery dashboard so the important cards are on top
WHO-97	WHO-99	Add rework rate, cost per delivered line, and autonomy-vs-throughput to the delivery dashboard
